Datos del Problema,Newton Con Diferencias Divididas,Lagrange,Newton Hacia Adelante,Newton Hacia Atrás,F. Posicion,Newton Rapshon,Punto Fijo,Secante,Grafico,Bisectriz,Gauss-Seidel,Jacobi,Eliminación Gaussiana,Diferencias Divididas,Euler Hacia Adelante,Euler Hacia Atras,Euler Modificado,Gauss Jordan,Montante,Newton Cotes Abiertas,Newton Cotes Cerradas,Simpson 1/3,Simpson 3/8,Trapecio,Runge-Kutta Cuarto Orden Por Simpson 1/3,Runge-Kutta Cuarto Orden Por Simpson 3/8,Runge-Kutta Cuarto Orden Por Orden Superior,Runge-Kutta Segundo Orden,Runge-Kutta Tercer Orden
X= 3; Xi= {1.7; 2.4; 3.1}; Yi= {0.35; 0.87; 1.03},0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 X= 7; Xi= {7;3; 6;5; 6;1}; Yi= {-0;28; -1;35; -1;96},1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ - 6.5x + 2,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= 3x³ - 2x - 3,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ + 2x² + 10 - 20,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= e⁻ˣ - x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ −4x2 + x + 6,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x³ +x−1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= cos(x) − x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= ln(x+1) + x,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= x⁵ − x − 1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)= eˣ + x² − 4,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3a - 0.1b - 0.2c = 7.85; 0.1a + 7b -0.3c = -19.3; 0.3a -0.2b + 10c = 71.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x + 3y = 5; 4x + 6.1y = 10.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4x + y = 9; x + 3Y = 7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10x + y + z = 12; 2x + 10y + z =13; 2x + 2y +10z = 14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x + y = 3; 4x + 2y = 6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5x - y + z = 10; -2x + 6y = -4; 3x + y + 7z = 15,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x + 2y = 2; 2x + y = 4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8x + y - z = 9; 2x + 7y + z = 11; -x + 3y + 6z = 10,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3x + 6y + 9z = 9; 6x + 12y + z= 18; 5x - y + z = 1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6x + 4y + 5z = 15; x + 10y + 2z = 13; 4x + 3y +7z = 14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9x + 4y + 3z = 32; x + 5y + z = 14; 2x + y +10z = 26,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10x + y + z = 12; 2x + 10y + z =13; 2x + 2y +10z = 14,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x + 0.5y + z = 10.5; 4x + 5y + 2z = 33; 5x + 3y +7z = 45,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x + 0.2y + 0.5z = 1.7; 3x + 4y + 5z = 12; x + 3y +4z = 8,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
∫₁³ ln(x) dx ;n=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
∫₀² (1 + x)⁄2 dx ; n=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
∫₀³ eˣ dx ; n=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
∫₀² 1 / (x + 1) dx; n=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
∫₁⁴ 1 / (x - 1) dx ; n=2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
∫₋₁¹ sin(x²) dx ; n=3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
f(x)=x³−2x−5,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)=x^3-6x^2+11x-6 en [1;3],0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(1;2); (3;5); (5;9),1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2x+y=5; x−y=1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
∫₀³ e-ˣ dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
y′=x+y; y(0)=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
y' = ycos(t); y(0)=1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
x+y+z=6; 2x+3y+7z=20; x−y+2z=4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)=x^2-2 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f(x)=x^3−4x+1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
∫₀² (x^2 + 1) dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
∫₀¹ e^x dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
(1;2); (2;3); (3;5),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3x+2y=5; x+y=2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
∫₀¹ sin(x) dx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
