Problema,Tema del Problema,A,B,C,D,Respuesta correcta
8+7,Suma,87,15,14,16,B
9+6,Suma,16,12,15,14,C
25+75,Suma,90,95,100,105,C
66+44,Suma,100,110,99,101,B
13+8,Suma,21,20,19,22,A
11+5+10+4,Suma,25,31,30,20,C
13+10+5,Suma,18,23,21,28,D
8+10+5,Suma,13,18,23,28,C
15+17,Suma,28,28,30,32,D
22+23,Suma,50,45,55,48,B
99+9,Suma,108,118,100,109,A
99+95,Suma,205,204,194,184,C
55+55,Suma,110,100,105,115,A
71+11,Suma,72,81,91,82,D
38+22,Suma,60,40,50,70,A
45+59,Suma,94,104,95,105,B
41+78,Suma,109,119,99,129,B
8+10+5+10+10,Suma,28,33,38,43,D
28+79,Suma,107,102,100,105,A
138+620,Suma,658,785,758,685,C
119+91,Suma,190,209,200,210,D
75+55,Suma,120,130,140,110,B
22+33+64,Suma,129,109,99,119,D
12+61+23,Suma,96,66,93,86,A
65-35,Resta,30,40,20,50,A
200-125,Resta,175,75,125,85,B
11-7,Resta,6,5,4,8,C
72-9,Resta,81,61,62,63,D
23-17,Resta,6,7,14,15,A
33-8,Resta,28,25,27,35,B
45-18,Resta,26,25,27,28,C
41-35,Resta,11,5,36,6,D
350-161,Resta,89,151,99,139,A
150-48,Resta,92,102,112,98,B
300-121,Resta,171,189,179,199,C
307-127,Resta,80,190,170,180,D
200-99,Resta,101,111,91,109,A
53-35,Resta,17,18,28,27,B
200-158,Resta,152,52,42,142,C
53-69,Resta,14,4,6,16,D
96-25,Resta,71,81,61,51,A
392-120,Resta,372,272,227,327,B
79-64,Resta,15,45,35,25,C
97-62,Resta,47,37,45,35,D
95-52,Resta,43,47,33,37,A
82-61,Resta,23,21,31,11,B
79-64,Resta,14,5,15,25,C
89-48,Resta,51,48,49,41,D
3*2*7,Multiplicación,42,28,49,36,A
4*6*2,Multiplicación,40,48,44,46,B
3*7*3,Multiplicación,72,21,63,54,C
2*5*6,Multiplicación,62,48,50,60,D
4*7*3,Multiplicación,84,74,64,80,A
4*9*2,Multiplicación,70,72,68,64,B
12*11,Multiplicación,112,122,132,120,C
9*5*10,Multiplicación,500,405,540,450,D
5*13*2,Multiplicación,130,110,125,120,A
2*7*4,Multiplicación,48,56,58,46,B
11*20,Multiplicación,232,222,220,202,C
15*9,Multiplicación,155,145,150,135,D
25*5,Multiplicación,125,250,225,150,A
30*20,Multiplicación,6000,600,60,660,B
50*15,Multiplicación,550,1500,750,1000,C
45*4,Multiplicación,150,90,160,180,D
7*8,Multiplicación,56,49,64,56,A
35*3,Multiplicación,125,105,115,95,B
6*12*2,Multiplicación,124,140,144,120,C
8*3,Multiplicación,26,22,18,24,D
112*4,Multiplicación,448,428,412,444,A
550*3,Multiplicación,1550,1650,1750,1600,B
4*52,Multiplicación,200,218,208,204,C
13*7,Multiplicación,79,99,73,91,D
51/17,División,3,5,7,4,A
225/25,División,7,9,5,3,B
6/2,División,6,2,3,4,C
35/5,División,13,8,9,7,D
8240/2,División,4120,4240,4140,4220,A
56/7,División,6,8,7,9,B
555/5,División,105,101,111,115,C
99/3,División,39,23,30,33,D
63/9,División,7,8,6,9,A
36/12,División,4,3,2,6,B
130/65,División,3,4,2,5,C
2002/11,División,203,220,202,182,D
180/3,División,60,80,70,90,A
60/12,División,6,5,4,3,B
75/5,División,25,13,15,17,C
369/123,División,7,6,9,3,D
800/4,División,200,400,20,40,A
48/8,División,8,6,12,4,B
500/125,División,3,6,4,5,C
34/2,División,18,14,12,17,D
54/2,División,27,23,22,28,A
400/50,División,20,8,40,6,B
90/45,División,4,3,2,5,C
54/6,División,6,8,7,9,D
1*1,Cuadrado,1,3,2,0,A
2*2,Cuadrado,1,4,6,3,B
3*3,Cuadrado,3,6,9,13,C
4*4,Cuadrado,2,12,8,16,D
5*5,Cuadrado,25,10,15,35,A
6*6,Cuadrado,30,36,12,16,B
7*7,Cuadrado,39,42,49,47,C
8*8,Cuadrado,62,54,58,64,D
9*9,Cuadrado,81,91,99,79,A
10*10,Cuadrado,110,100,20,10,B
11*11,Cuadrado,111,110,121,22,C
12*12,Cuadrado,142,124,122,144,D
13*13,Cuadrado,169,159,139,199,A
14*14,Cuadrado,144,196,146,156,B
15*15,Cuadrado,165,175,225,155,C
1^2,Cuadrado,1,0,3,2,A
2^2,Cuadrado,3,4,1,6,B
3^2,Cuadrado,13,3,9,6,C
4^2,Cuadrado,8,2,12,16,D
5^2,Cuadrado,25,35,10,15,A
6^2,Cuadrado,16,36,30,12,B
7^2,Cuadrado,14,39,49,42,C
8^2,Cuadrado,16,62,54,64,D
9^2,Cuadrado,81,79,18,99,A
10^2,Cuadrado,12,100,110,20,B
11^2,Cuadrado,111,110,121,22,C
12^2,Cuadrado,122,142,124,144,D
13^2,Cuadrado,169,199,159,139,A
14^2,Cuadrado,156,196,144,146,B
15^2,Cuadrado,155,165,225,175,C
√1,Raíz cuadrada,1,10,2,3,A
√4,Raíz cuadrada,1,2,4,6,B
√9,Raíz cuadrada,6,2,3,9,C
√16,Raíz cuadrada,8,2,16,4,D
√25,Raíz cuadrada,5,10,25,15,A
√36,Raíz cuadrada,3,6,8,36,B
√49,Raíz cuadrada,8,49,7,9,C
√64,Raíz cuadrada,64,9,7,8,D
√81,Raíz cuadrada,9,8,81,13,A
√100,Raíz cuadrada,100,10,11,5,B
√121,Raíz cuadrada,10,121,11,12,C
√144,Raíz cuadrada,14,16,144,12,D
√169,Raíz cuadrada,13,16,169,14,A
√196,Raíz cuadrada,12,14,13,196,B
√225,Raíz cuadrada,25,225,15,5,C
1/4 + 2/4,Fracción,3/4,4/4,2/16,2/4,A
1/4 + 3/4,Fracción,3/4,1,1/4,2/4,B
1/2 + 2/4,Fracción,3/4,3/2,4/4,3/8,C
3/9 + 5/9,Fracción,6/9,9/9,1,8/9,D
5/10 + 1/2,Fracción,10/10,7/10,6/10,6/2,A
4/7 + 2/7,Fracción,7/14,6/7,2/7,4/7,B
1/2 + 1/8,Fracción,2/8,6/8,5/8,5/2,C
2/6 + 3/6,Fracción,5/12,6/6,4/6,5/6,D
1 - 4/7,Fracción,3/7,4/7,1/7,5/7,A
15/10 - 5/10,Fracción,10/5,5/5,5/10,15/5,B
3/6 - 2/4,Fracción,1/2,5/10,0,1/4,C
7/8 - 3/8,Fracción,10/8,4/7,3/4,1/2,D
3/5 - 1/5,Fracción,2/5,4/5,4/2,4/10,A
5/6 - 2/6,Fracción,7/6,4/6,3/2,2/6,B
21/30 - 20/30,Fracción,1/20,41/20,1/30,41/30,C
6/8 - 2/8,Fracción,4/6,8/8,8/4,4/8,D
2/3 * 3/2,Fracción,6/6,5/6,6/5,5/3,A
4/5 * 2/1,Fracción,4/10,8/5,5/8,10/4,B
11/12 * 4,Fracción,15/12,44/12,44/48,11/48,C
12/6 * 3,Fracción,39/6,13/18,3,6,D
1/4 * 2/4,Fracción,2/16,2/8,3/4,2/4,A
1/3 * 3/5,Fracción,5/3,3/15,5/15,3/8,B
5/3 * 1/7,Fracción,6/10,4/4,5/21,6/21,C
1/2 * 1/3,Fracción,1/5,2/6,1/3,1/6,D